DATE,MRTSSM451211USN
2019/11/1,627
2019/12/1,1050
2020/1/1,967
2020/2/1,575
2020/3/1,393
2020/4/1,171
2020/5/1,263
2020/6/1,369
2020/7/1,415
2020/8/1,729
2020/9/1,583
2020/10/1,425
2020/11/1,461
2020/12/1,834
2021/1/1,754
2021/2/1,415
2021/3/1,493
2021/4/1,459
2021/5/1,563
2021/6/1,624
2021/7/1,630
2021/8/1,1018
2021/9/1,777
2021/10/1,612
2021/11/1,621
2021/12/1,1051
2022/1/1,803
2022/2/1,513
2022/3/1,535
2022/4/1,585
2022/5/1,613
2022/6/1,560
2022/7/1,595
2022/8/1,1055
2022/9/1,799
2022/10/1,587
2022/11/1,618
2022/12/1,1084
2023/1/1,918
2023/2/1,560
2023/3/1,594
2023/4/1,580
2023/5/1,650
2023/6/1,584
2023/7/1,587
